column,y2023,y2024,y2025,in_all_years,timing,a_j,rationale
Кто заполнял,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
ЛГ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Лаеннек 112 мг/2 мл №10 амп,,,✓,,unclassified,0,требует ручного решения соавтора
Лаеннек внутриматочно,✓,✓,,,unclassified,0,требует ручного решения соавтора
Лензетто,✓,✓,,,unclassified,0,требует ручного решения соавтора
Летрозол,✓,✓,,,unclassified,0,требует ручного решения соавтора
"Летрозол 2,5 мг №30 табл",,,✓,,unclassified,0,требует ручного решения соавтора
Лечение,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
М /С,✓,,,,unclassified,0,требует ручного решения соавтора
МАР тест,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Мед.аборт,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Меногон 75ЕД,✓,✓,,,unclassified,0,требует ручного решения соавтора
Менопур 75 ЕД,,✓,,,unclassified,0,требует ручного решения соавтора
"Менопур 75 МЕ №5, №10 амп",,,✓,,unclassified,0,требует ручного решения соавтора
Менур 75 ЕД,✓,,,,unclassified,0,требует ручного решения соавтора
Мерионал,✓,✓,,,unclassified,0,требует ручного решения соавтора
Мерионал 75 МЕ №1 амп,,,✓,,unclassified,0,требует ручного решения соавтора
Мериоферт,✓,✓,,,unclassified,0,требует ручного решения соавтора
Мериферт 75 ЕД,,,✓,,unclassified,0,требует ручного решения соавтора
Место проведения гистеро,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Метипред,✓,✓,,,unclassified,0,требует ручного решения соавтора
Метипред 4/мг16мг №30 табл (Метилпреднизолон,,,✓,,unclassified,0,требует ручного решения соавтора
Морф %,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Наличие материала (TESA),✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Нац жены,✓,,,,unclassified,0,требует ручного решения соавтора
Нац мужа,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Нац.жены,,✓,✓,,unclassified,0,требует ручного решения соавтора
Нурофен/Ибупрофен,✓,✓,,,unclassified,0,требует ручного решения соавтора
Нурофен/Ибупрофен 200 мг №10/№50 табл,,,✓,,unclassified,0,требует ручного решения соавтора
ОП/ЕТ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
"Овитрел 250 мкг/0,5 мл №1 амп п/к",,,✓,,unclassified,0,требует ручного решения соавтора
Овитрель,✓,✓,,,unclassified,0,требует ручного решения соавтора
Одинокая,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Онкофертильность,,,✓,,unclassified,0,требует ручного решения соавтора
Операции экстагенитальные,,,✓,,unclassified,0,требует ручного решения соавтора
Операции/Тубэктомия,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Операции/Цистэктомия,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Оргалутран  /амп,✓,✓,,,unclassified,0,требует ручного решения соавтора
Осложнение новорожденного,,✓,✓,,unclassified,0,требует ручного решения соавтора
Осложнение новорожденного 2,,✓,,,unclassified,0,требует ручного решения соавтора
Отмена  ЕТ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Отмена ТВП,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Отмена стимуляции,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
"ПОЛ (ХУ, ХХ)",✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Перговерис 150МЕ+75МЕ №1 амп,,,✓,,unclassified,0,требует ручного решения соавтора
Перговерис/амп,✓,✓,,,unclassified,0,требует ручного решения соавтора
Пинодии 6,✓,,,,unclassified,0,требует ручного решения соавтора
Пинодии 8,✓,,,,unclassified,0,требует ручного решения соавтора
Пиноподии 6,,✓,✓,,unclassified,0,требует ручного решения соавтора
Пиноподии 8,,✓,✓,,unclassified,0,требует ручного решения соавтора
Показатель прогестерона,,✓,✓,,unclassified,0,требует ручного решения соавтора
Полиграф,,✓,,,unclassified,0,требует ручного решения соавтора
"Пражестан 200 мг №30 кап (прогестерон) перор., ваг.",,,✓,,unclassified,0,требует ручного решения соавтора
Примечание,,✓,,,unclassified,0,требует ручного решения соавтора
Причина,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Причина отмена ЕТ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Причина отмена ТВП,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Прл,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Проблема ПЭ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
"Прогестерон 1%, 2,5% по 1 мл №10 амп (прогестерон 10 мг или 25 мг) в/м, п/к",,,✓,,unclassified,0,требует ручного решения соавтора
Прогестерон 1мл,✓,✓,,,unclassified,0,требует ручного решения соавтора
Прогестерон старт,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Прогинова,✓,✓,,,unclassified,0,требует ручного решения соавтора
Прогинова 2 мг №21 табл (эстрадиола валерат),,,✓,,unclassified,0,требует ручного решения соавтора
Пролютекс 25мг №7  амп п/к (прогестерон),,,✓,,unclassified,0,требует ручного решения соавтора
Пуберген,✓,✓,,,unclassified,0,требует ручного решения соавтора
Пуберген 5000 МЕ №1 амп в/м,,,✓,,unclassified,0,требует ручного решения соавтора
Пурегон ед,✓,✓,,,unclassified,0,требует ручного решения соавтора
Реафем,✓,✓,,,unclassified,0,требует ручного решения соавтора
Реафем 100 мг №30кап (прогестерон) ваг.,,,✓,,unclassified,0,требует ручного решения соавтора
Реафем 200 мг №30кап (прогестерон) ваг.,,,✓,,unclassified,0,требует ручного решения соавтора
Регистрированный,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Результат МСГ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Рековелль 72 мкг/2.16 мл №1 шприц-ручка,,,✓,,unclassified,0,требует ручного решения соавтора
Рековель А 73,✓,✓,,,unclassified,0,требует ручного решения соавтора
Род деятельности,,✓,✓,,unclassified,0,требует ручного решения соавтора
Род деятельности жена,✓,,,,unclassified,0,требует ручного решения соавтора
Род деятельности мужа,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Роды,,,✓,,unclassified,0,требует ручного решения соавтора
Самопроизвольный выкидыш,,✓,✓,,unclassified,0,требует ручного решения соавтора
Самроизвольный выкидыш,✓,,,,unclassified,0,требует ручного решения соавтора
Себе/СМ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Синнал Ф,✓,✓,,,unclassified,0,требует ручного решения соавтора
Синнал-ф 450 МЕ/0.75 мл №1 шприц-ручка,,,✓,,unclassified,0,требует ручного решения соавтора
Среда ПЭ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Статистик,,✓,✓,,unclassified,0,требует ручного решения соавтора
Степень выраженности,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Стерилизация,✓,✓,,,unclassified,0,требует ручного решения соавтора
Страна,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
ТЛ-КОД И БАЛЛ,,,✓,,unclassified,0,требует ручного решения соавтора
ТТГ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Тамоксифен,✓,✓,,,unclassified,0,требует ручного решения соавтора
Тамоксифен 20мг №100 табл,,,✓,,unclassified,0,требует ручного решения соавтора
Тест,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Тригер/ТВП/Часы,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Утрожестан,✓,✓,,,unclassified,0,требует ручного решения соавтора
"Утрожестан 200 мг №14кап (Прогестерон) перор.,ваг.",,,✓,,unclassified,0,требует ручного решения соавтора
ФАРЕСТОН 60 мг №30 табл,,,✓,,unclassified,0,требует ручного решения соавтора
ФСГ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
ФСГ старт,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Фемостон,,✓,,,unclassified,0,требует ручного решения соавтора
"Фемостон 0,5/2,5 №28 табл (эстрадиола гемигидрат 0,5 мг/дидрогестерон 2,5 мг)",,,✓,,unclassified,0,требует ручного решения соавтора
Фемостон 1/10 №28 табл (эстрадиола гемигидрат 1 мг/дидрогестерон 10 мг),,,✓,,unclassified,0,требует ручного решения соавтора
Фемостон 1/5 №28 табл (эстрадиола гемигидрат 1 мг/дидрогестерон 5 мг),,,✓,,unclassified,0,требует ручного решения соавтора
Фемостон 2/10 №28 табл (эстрадиола гемигидрат 2 мг/дидрогестерон 10 мг),,,✓,,unclassified,0,требует ручного решения соавтора
Фолиграф,✓,,,,unclassified,0,требует ручного решения соавтора
Фолиграф 150 МЕ №1 амп,,,✓,,unclassified,0,требует ручного решения соавтора
Фолиграф 75 МЕ №1 амп,,,✓,,unclassified,0,требует ручного решения соавтора
Фостимон,✓,✓,,,unclassified,0,требует ручного решения соавтора
Фостимон 75 МЕ №1 амп,,,✓,,unclassified,0,требует ручного решения соавтора
Фраксипарин,✓,✓,,,unclassified,0,требует ручного решения соавтора
"Фраксипарин 0,4/0,3/0,6/0,8мл 2850МЕ/3800МЕ/5700МЕ/7600МЕ п/к",,,✓,,unclassified,0,требует ручного решения соавтора
Характеристика (АВС),✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Хорапур 10000,✓,✓,,,unclassified,0,требует ручного решения соавтора
Хорапур 5000,✓,✓,,,unclassified,0,требует ручного решения соавтора
Хронич эндомит Гистология,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Цетролекс,✓,✓,,,unclassified,0,требует ручного решения соавтора
"Цетротид  0,25 /амп",✓,✓,,,unclassified,0,требует ручного решения соавтора
"Цетротид 0,25мг амп",,,✓,,unclassified,0,требует ручного решения соавтора
Циклогест,,✓,,,unclassified,0,требует ручного решения соавтора
Циклогест 400 мг №15 супп (прогестерон) ваг.,,,✓,,unclassified,0,требует ручного решения соавтора
ЭМБ.   зам,,✓,✓,,unclassified,0,требует ручного решения соавтора
ЭМБ.разм,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Эндометрин,✓,✓,,,unclassified,0,требует ручного решения соавтора
Эндометрин 100 мг №30табл (прогестерон) ваг.,,,✓,,unclassified,0,требует ручного решения соавтора
Эстрадиол старт,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Эстражель,✓,✓,,,unclassified,0,требует ручного решения соавтора
Эстрафем,✓,✓,,,unclassified,0,требует ручного решения соавтора
"Эстрожель  0,60 мг/г гель (Эстрадиол)",,,✓,,unclassified,0,требует ручного решения соавтора
Эстрофем 2 мг №28 табл (17β-эстрадиол),,,✓,,unclassified,0,требует ручного решения соавтора
Эутирокс,✓,✓,,,unclassified,0,требует ручного решения соавтора
Эутирокс 25мкг/50мкг/75мкг/100мкг/125мкг/150мкг №100табл (Левотироксин натрия),,,✓,,unclassified,0,требует ручного решения соавтора
аэртал,✓,✓,,,unclassified,0,требует ручного решения соавтора
б/х берем,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
достинекс /таб,✓,✓,,,unclassified,0,требует ручного решения соавтора
зам ооц по счету,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
замершая,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
кЭКО Норм.опл.,,✓,✓,,unclassified,0,требует ручного решения соавтора
кЭКО среда кул-ия,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
кес/сеч,✓,✓,,,unclassified,0,требует ручного решения соавтора
кол плод,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
кол-чо проданных свеж ДО,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
кто заполнял,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
номер телефона,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
"осложнения бер., родов",,✓,✓,,unclassified,0,требует ручного решения соавтора
"осложнения бер., родов 2",,✓,✓,,unclassified,0,требует ручного решения соавтора
"осложнения бер., родов 3",,✓,✓,,unclassified,0,требует ручного решения соавтора
осложнения пункции,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
осложнения родов,✓,,,,unclassified,0,требует ручного решения соавтора
плод,,✓,✓,,unclassified,0,требует ручного решения соавтора
плод 1 или 2,✓,,,,unclassified,0,требует ручного решения соавтора
пол плод,,✓,✓,,unclassified,0,требует ручного решения соавтора
пол плод 1,✓,,,,unclassified,0,требует ручного решения соавтора
пол плод 2,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
пол плод 3,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
примечание,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
примечание.1,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
прогестан,✓,✓,,,unclassified,0,требует ручного решения соавтора
пролютекс,✓,✓,,,unclassified,0,требует ручного решения соавтора
результат УЗИ 2,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
результат УЗИ 3,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
результат тест,✓,,,,unclassified,0,требует ручного решения соавтора
с/в,✓,,,,unclassified,0,требует ручного решения соавтора
с/в/мед.аборт,,✓,✓,,unclassified,0,требует ручного решения соавтора
с/роды,✓,✓,,,unclassified,0,требует ручного решения соавтора
санрокс,✓,✓,,,unclassified,0,требует ручного решения соавтора
"санрокс 0,25мг амп",,,✓,,unclassified,0,требует ручного решения соавтора
срок,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
срочные роды,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
услуги кв/пл,✓,✓,,,unclassified,0,требует ручного решения соавтора
услуги кв/пл для статистов,,,✓,,unclassified,0,требует ручного решения соавтора
фаристон,✓,✓,,,unclassified,0,требует ручного решения соавтора
∑ Норм.опл.,,✓,✓,,unclassified,0,требует ручного решения соавтора
